5
121.142905 / 69.251815 / 118.168340 / 68.355250 /116.714023 / 70.353685
120.758293 / 71.005981 / 91.442827 / 63.252965 / 87.892092 / 61.335051
109.337957 / 65.364977 / 109.408816 / 64.414618 / 107.741555 / 63.622250
103.240867 / 74.007474 / 94.265401 / 71.592486 / 102.355480 / 73.434665
108.744042 / 67.425714 / 101.105472 / 66.657476 / 109.173728 / 68.274757
117.176769 / 61.717850 / 111.242846 / 61.525721 / 114.904527 / 61.488201
105.479784 / 66.728080 / 98.098046 / 65.630437 / 103.317554 / 65.424552
119.750967 / 76.298138 / 104.949226 / 67.395224 / 108.900709 / 70.163208
85.237498 / 65.106205 / 72.410256 / 60.699293 / 71.120022 / 58.125077
110.985471 / 55.148106 / 90.929869 / 50.717141 / 89.701313 / 49.801791
105.192318 / 64.872089 / 98.518808 / 63.767303 / 102.589934 / 63.014476
124.181045 / 68.657282 / 111.029530 / 65.296012 / 113.799165 / 63.827031
104.890581 / 66.238736 / 101.331604 / 63.747015 / 99.819977 / 65.130590
110.152941 / 69.378258 / 108.818512 / 65.591726 / 104.885986 / 66.515677
103.437212 / 71.943487 / 100.900461 / 68.634756 / 97.499011 / 69.512543
